,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
4250,----,46.00B,16.00A,17.50B,17.75,-19.75,,37.5,,,19
4260,----,40.75B,13.75A,14.75B,15.25,-18.25,,33.5,,,1
4270,----,36.50B,11.75A,12.50B,13,-16.75,,29.75,,,
4280,----,32.25B,9.75A,10.50B,11,-15.25,,26.25,1,,1
4290,----,28.25B,8.25A,8.75B,9.25,-14,,23.25,,,
4300,----,24.75B,7.00A,7.25B,7.75,-12.5,4,20.25,,,2
4310,----,21.25B,5.75A,6.00B,6.5,-11,,17.5,,,
4320,----,18.25B,4.70A,4.90B,5.5,-9.75,,15.25,,,
4330,----,15.25B,3.90A,3.95B,4.5,-8.5,,13,1,,1
4340,----,12.75B,3.30A,3.30A,3.75,-7.5,,11.25,1,,1
4350,----,10.50B,2.75A,2.75A,3.1,-6.4,3,9.5,,,
4360,----,8.50B,2.35A,2.35A,2.55,-5.7,,8.25,,,
4370,----,----,2.00A,2.00A,2.15,-4.85,,7,12,,12
4380,----,----,1.70A,1.70A,1.75,-4,,5.75,,,
4390,----,----,1.50A,1.50A,1.45,-3.5,,4.95,,,
4400,----,----,1.30A,1.30A,1.2,-3,3,4.2,12,,12
4410,----,----,1.20A,1.20A,1,-2.55,,3.55,12,,12
4420,----,----,1.05A,1.05A,0.85,-2.15,,3,12,,132
4430,----,----,1.00A,1.00A,0.7,-1.85,,2.55,,,
4440,----,----,.90A,.90A,0.6,-1.6,,2.2,,,
4450,----,----,.85A,.85A,0.5,-1.4,,1.9,,,77
4460,----,----,.80A,.80A,0.4,-1.2,,1.6,,,
4470,----,----,.75A,.75A,0.35,-1.05,,1.4,,,
4480,----,----,.70A,.70A,0.3,-0.9,,1.2,,,
4490,----,----,.70A,.70A,0.25,-0.8,,1.05,,,
4500,----,----,.65A,.65A,0.25,-0.65,45,0.9,,,
4510,----,----,.65A,.65A,0.2,-0.6,,0.8,,,
4520,----,----,.60A,.60A,0.15,-0.55,,0.7,,,
4530,----,----,.55A,.55A,0.15,-0.45,,0.6,,,
4540,----,----,----,----,0.15,-0.35,,0.5,,,
4550,----,----,----,----,0.1,-0.35,,0.45,,,
4560,----,----,----,----,0.1,-0.3,,0.4,,,
4570,----,----,----,----,0.1,-0.25,,0.35,,,
4580,----,----,----,----,0.1,-0.2,,0.3,,,
4590,----,----,----,----,0.05,-0.2,,0.25,,,
4600,----,----,----,----,0.05,-0.2,,0.25,,,2
4610,----,----,----,----,0.05,-0.15,,0.2,,,
4620,----,----,----,----,0.05,-0.15,,0.2,,,132
4630,----,----,----,----,0.05,-0.1,,0.15,,,77
4640,----,----,----,----,0.05,-0.1,,0.15,,,
4650,----,----,----,----,0.05,-0.1,,0.15,,,
4660,----,----,----,----,0.05,-0.05,,0.1,,,
4670,----,----,----,----,0.05,-0.05,,0.1,,,
4680,----,----,----,----,CAB,-0.1,,0.1,,,
4690,----,----,----,----,CAB,-0.1,,0.1,,,
4700,----,----,----,----,CAB,-0.05,,0.05,,,
4710,----,----,----,----,CAB,-0.05,,0.05,,,
4720,----,----,----,----,CAB,-0.05,,0.05,,,
4730,----,----,----,----,CAB,-0.05,,0.05,,,
4740,----,----,----,----,CAB,UNCH,,CAB,,,
4750,----,----,----,----,CAB,UNCH,,CAB,,,
4760,----,----,----,----,CAB,UNCH,,CAB,,,
4770,----,----,----,----,CAB,UNCH,,CAB,,,
4780,----,----,----,----,CAB,UNCH,,CAB,,,
4790,----,----,----,----,CAB,UNCH,,CAB,,,
4800,----,----,----,----,CAB,UNCH,,CAB,,,
4810,----,----,----,----,CAB,UNCH,,CAB,,,
QN4 MAR,16 WEEK,4 - NASDAQ,WEEKLY E-MI,NI OPTION,S CALL,,,,,,
3500,----,703.50B,651.75A,653.25B,656.75,-41.25,,698,,,
3510,----,710.50B,642.00A,643.75B,647.25,-41,,688.25,,,
3520,----,700.50B,632.50A,634.00B,637.75,-41,,678.75,,,
3530,----,691.25B,623.00A,624.75B,628.25,-41,,669.25,,,
3540,----,681.75B,613.50A,615.00B,618.75,-41,,659.75,,,
3550,----,672.00B,604.00A,605.75B,609.25,-40.75,,650,,,
3560,----,662.50B,594.75A,596.25B,600,-40.5,,640.5,,,
3570,----,653.00B,585.25A,586.75B,590.5,-40.5,,631,,,
3580,----,643.50B,575.75A,577.50B,581.25,-40.25,,621.5,,,
3590,----,634.00B,566.50A,568.25B,571.75,-40.5,,612.25,,,
3600,----,624.25B,557.00A,558.75B,562.5,-40.25,,602.75,,,
3610,----,615.25B,547.75A,549.25B,553,-40.5,,593.5,,,
3620,----,605.75B,538.50A,540.00B,543.75,-40.5,,584.25,,,
3630,----,595.75B,529.25A,530.75B,534.5,-40.25,,574.75,,,
3640,----,587.00B,520.00A,521.75B,525.25,-40.25,,565.5,,,
3650,----,577.50B,510.75A,512.25B,516,-40.25,,556.25,,,
3660,----,568.25B,501.50A,503.25B,506.75,-40.25,,547,,,
3670,----,559.00B,492.50A,494.00B,497.5,-40.25,,537.75,,,
3680,----,549.75B,483.25A,485.00B,488.5,-40,,528.5,,,
3690,----,540.50B,474.25A,476.00B,479.25,-40,,519.25,,,
3700,----,531.25B,465.25A,467.00B,470.25,-39.75,,510,,,
3710,----,521.50B,456.25A,458.00B,461.25,-39.75,,501,,,
3720,----,513.00B,447.25A,449.00B,452.25,-39.75,,492,,,
3730,----,503.25B,438.25A,440.00B,443.25,-39.5,,482.75,,,
3740,----,494.75B,429.25A,431.25B,434.5,-39.25,,473.75,,,
3750,----,485.50B,420.50A,422.50B,425.5,-39.25,,464.75,,,
3760,----,476.00B,411.75A,413.50B,416.75,-39,,455.75,,,
3770,----,467.50B,403.00A,405.00B,408,-39,,447,,,
3780,----,458.50B,394.25A,396.25B,399.25,-39,,438.25,,,
3790,----,449.25B,385.50A,387.50B,390.5,-38.75,,429.25,,,
3800,----,440.25B,377.00A,378.75B,381.75,-38.75,,420.5,,,
3810,----,432.00B,368.50A,370.50B,373.25,-38.5,,411.75,,,
3820,----,423.25B,360.00A,361.75B,364.75,-38.25,,403,,,
3830,----,414.00B,351.50A,353.25B,356.25,-38.25,,394.5,,,
3840,----,405.75B,343.00A,345.00B,347.75,-38.25,,386,,,
3850,----,397.00B,334.75A,336.75B,339.5,-37.75,,377.25,,,
3860,----,388.50B,326.50A,328.25B,331.25,-37.5,,368.75,,,
3870,----,379.75B,318.25A,320.25B,323,-37.5,,360.5,,,
3880,----,370.75B,310.25A,312.00B,314.75,-37.25,,352,,,
3890,----,362.75B,302.00A,303.75B,306.75,-36.75,,343.5,,,
3900,----,354.50B,294.00A,296.00B,298.75,-36.5,,335.25,,,
3910,----,345.75B,286.00A,287.75B,290.75,-36.25,,327,,,
3920,----,337.75B,278.25A,280.25B,282.75,-36.25,,319,,,
3930,----,329.50B,270.50A,272.25B,274.75,-36,,310.75,,,
3940,----,321.00B,262.75A,264.25B,267,-35.75,,302.75,,,
3950,----,313.25B,255.00A,257.00B,259.5,-35.25,,294.75,,,
3960,----,305.00B,247.50A,249.00B,252,-34.75,,286.75,,,
3970,----,296.75B,240.00A,241.50B,244.5,-34.5,,279,,,
3980,----,288.75B,232.50A,234.25B,237,-34.25,,271.25,,,
3990,----,281.25B,225.25A,227.00B,229.5,-34,,263.5,,,
4000,----,273.50B,218.00A,219.75B,222.25,-34,,256.25,,,
4010,----,265.75B,210.75A,212.50B,215,-33.75,,248.75,,,
4020,----,258.00B,203.75A,205.25B,208,-33.25,,241.25,,,
4030,----,250.50B,196.50A,198.25B,201,-32.75,,233.75,,,
4040,----,243.00B,189.75A,191.25B,194,-32.5,,226.5,,,
4050,----,235.50B,183.00A,184.50B,187,-32.25,,219.25,,,
4060,----,228.00B,176.25A,177.75B,180.25,-32,,212.25,,,
4070,----,220.75B,169.50A,171.00B,173.5,-31.75,,205.25,,,
4080,----,213.50B,163.25A,164.50B,167,-31.25,,198.25,,,
4090,----,206.50B,156.75A,158.25B,160.5,-31,,191.5,,,
4100,----,199.50B,150.50A,151.75B,154.25,-30.5,,184.75,,,
4110,----,192.50B,144.25A,145.50B,148,-30,,178,,,
4120,----,185.75B,138.25A,139.50B,141.75,-29.75,,171.5,,,
4130,----,179.00B,132.50A,133.50B,135.75,-29.25,,165,,,
4140,----,172.25B,126.75A,127.50B,129.75,-29,,158.75,,,
4150,----,165.50B,121.00A,121.75B,124,-28.5,,152.5,,,
4160,----,159.25B,115.50A,116.25B,118.25,-28.25,,146.5,,,
4170,----,152.75B,110.00A,110.75B,112.75,-27.75,,140.5,,,
4180,----,146.50B,104.75A,105.25B,107.25,-27.25,,134.5,,,
4190,----,140.25B,99.75A,100.00B,102,-26.75,,128.75,,,
4200,----,134.50B,94.75A,95.00B,96.75,-26.25,,123,,,
4210,----,128.75B,89.75A,90.00B,91.75,-25.75,,117.5,,,
4220,----,123.00B,85.00A,85.00A,87,-25.25,,112.25,,,
4230,----,117.00B,80.50A,80.50A,82.25,-24.75,,107,,,
4240,----,111.75B,76.00A,76.00A,77.5,-24.25,,101.75,,,
4250,----,106.25B,71.75A,71.75A,73,-23.75,,96.75,,,
4260,----,100.75B,67.50A,67.50A,68.75,-23,,91.75,,,
4270,----,96.00B,63.50A,63.50A,64.75,-22.25,,87,,,
4280,----,90.75B,59.50A,59.50A,60.75,-21.5,,82.25,,,
4290,----,85.75B,55.75A,55.75A,57,-20.75,,77.75,,,
4300,----,81.25B,52.25A,52.25A,53.25,-20.25,,73.5,,,
4310,----,76.50B,48.75A,48.75A,49.75,-19.5,,69.25,,,
4320,----,72.25B,45.50A,45.50A,46.25,-19,,65.25,,,
4330,----,68.00B,42.50A,42.50A,43,-18.5,,61.5,,,
4340,----,63.75B,39.50A,39.50A,40,-17.75,,57.75,,,
4350,----,59.75B,36.75A,36.75A,37,-17,,54,,,
4360,----,55.75B,34.00A,34.00A,34.25,-16.25,,50.5,,,
4370,----,52.00B,31.50A,31.50A,31.75,-15.5,,47.25,,,
4380,----,48.50B,29.00A,29.00A,29.25,-15,,44.25,,,
4390,----,45.00B,26.75A,26.75A,27,-14.25,,41.25,,,
4400,----,41.75B,24.75A,24.75A,24.75,-13.5,,38.25,,,
4410,----,38.50B,22.75A,22.75A,22.75,-12.75,,35.5,,,
4420,----,35.50B,20.75A,20.75A,20.75,-12.25,,33,,,
4430,----,32.75B,19.00A,19.00A,19,-11.5,,30.5,,,
4440,----,30.00B,17.50A,17.50A,17.5,-10.75,,28.25,,,
4450,----,27.75B,16.00A,16.00A,16,-10,,26,,,
4460,----,25.25B,14.50A,14.50A,14.5,-9.5,,24,,,
4470,----,23.00B,13.25A,13.25A,13,-9,,22,,,
4480,----,20.75B,12.25A,12.25A,11.75,-8.5,,20.25,,,
4490,----,18.75B,11.00A,11.00A,10.75,-7.75,,18.5,,,
4500,----,----,10.25A,10.25A,9.75,-7.25,,17,,,
4510,----,----,9.25A,9.25A,8.75,-6.75,,15.5,,,
4520,----,----,8.50A,8.50A,7.75,-6.25,,14,,,
4530,----,----,7.75A,7.75A,7,-5.75,,12.75,,,
4540,----,----,7.00A,7.00A,6.25,-5.25,,11.5,,,
4550,----,----,6.50A,6.50A,5.5,-5,,10.5,,,
4560,----,----,6.00A,6.00A,4.95,-4.55,,9.5,,,
4570,----,----,5.50A,5.50A,4.4,-4.1,,8.5,,,
4580,----,----,5.00A,5.00A,3.9,-3.6,,7.5,,,
4590,----,----,----,----,3.45,UNCH,,----,,,
4600,----,----,----,----,3.05,UNCH,,----,,,
4610,----,----,----,----,2.7,UNCH,,----,,,
4620,----,----,----,----,2.35,UNCH,,----,,,
4630,----,----,----,----,2.05,UNCH,,----,,,
4640,----,----,----,----,1.8,UNCH,,----,,,
4650,----,----,----,----,1.55,UNCH,,----,,,
4660,----,----,----,----,1.35,UNCH,,----,,,
4670,----,----,----,----,1.15,UNCH,,----,,,
4680,----,----,----,----,1,UNCH,,----,,,
4690,----,----,----,----,0.85,UNCH,,----,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,190,,139,,940
QN4 FEB,16 WEEK,4 - NASDAQ,WEEKLY E-MI,NI OPTION,S PUT,,,,,,
3440,----,----,----,----,0.45,-0.1,,0.55,,,10
3450,----,----,----,----,0.5,-0.05,,0.55,,,
3460,----,----,----,----,0.5,-0.1,,0.6,,,
3470,----,----,----,----,0.5,-0.1,,0.6,,,18
3480,----,----,----,----,0.55,-0.1,,0.65,,,12
3490,----,----,----,----,0.55,-0.15,,0.7,,,31
3500,----,----,----,----,0.6,-0.1,,0.7,,,30
3510,----,----,.70A,.70A,0.6,-0.15,,0.75,,,
3520,----,----,----,----,0.65,-0.1,,0.75,,,20
3530,----,----,.75A,.75A,0.7,-0.1,,0.8,,,17
3540,----,----,.75A,.75A,0.7,-0.15,,0.85,,,11
3550,----,----,.80A,.80A,0.75,-0.1,,0.85,,,
3560,----,----,.80A,.80A,0.75,-0.15,,0.9,,,4
3570,----,----,.85A,.85A,0.8,-0.15,,0.95,,,4
3580,----,----,.85A,.85A,0.85,-0.15,,1,,,17
3590,----,----,.90A,.90A,0.9,-0.15,,1.05,,,
3600,----,----,.90A,.90A,0.95,-0.15,,1.1,,,42
3610,----,----,.95A,.95A,1,-0.15,,1.15,,,
3620,----,----,.95A,.95A,1.05,-0.15,,1.2,,,45
3630,----,----,1.00A,1.00A,1.1,-0.15,,1.25,,,15
3640,----,----,1.05A,1.05A,1.15,-0.15,,1.3,,,132
3650,----,----,1.10A,1.15B,1.2,-0.15,,1.35,,,6
3660,----,----,1.15A,1.15A,1.25,-0.15,,1.4,,,7
3670,----,----,1.20A,1.25B,1.35,-0.15,,1.5,,,14
3680,----,----,1.25A,1.30B,1.4,-0.15,,1.55,,,
3690,----,----,1.30A,1.40B,1.5,-0.15,,1.65,,,13
3700,----,----,1.35A,1.50B,1.6,-0.1,,1.7,,,200
3710,----,----,1.45A,1.60B,1.7,-0.1,,1.8,,,
3720,----,----,1.50A,1.75B,1.8,-0.05,,1.85,,,1
3730,----,----,1.60A,1.85B,1.9,-0.05,,1.95,,,
3740,----,2.10B,1.70A,2.00B,2,-0.05,,2.05,,,22
3750,----,2.25B,1.80A,2.15B,2.15,UNCH,,2.15,,,51
3760,----,2.40B,1.90A,2.30B,2.3,UNCH,,2.3,,,143
3770,----,2.60B,2.05A,2.50B,2.45,UNCH,,2.45,,,8
3780,----,2.75B,2.20A,2.65B,2.6,UNCH,,2.6,,,3
3790,----,2.95B,2.35A,2.90B,2.8,0.05,,2.75,,,14
3800,2.8,3.20B,2.40A,3.10B,3,0.05,58,2.95,62,,58
3810,----,3.45B,2.70A,3.40B,3.2,UNCH,,3.2,,,14
3820,----,3.70B,2.90A,3.65B,3.45,UNCH,,3.45,,,14
3830,----,4.00B,3.10A,4.00B,3.75,UNCH,,3.75,,,14
3840,----,4.35B,3.35A,4.35B,4.05,UNCH,,4.05,,,33
3850,----,4.70B,3.60A,4.70B,4.4,-0.05,45,4.45,,,32
3860,----,5.00B,3.90A,5.00B,4.8,-0.05,,4.85,,,58
3870,----,5.50B,4.20A,5.50B,5.25,UNCH,,5.25,,,
3880,----,6.00B,4.55A,6.00B,5.5,-0.25,,5.75,,,20
3890,----,6.50B,4.95A,6.50B,6,-0.25,,6.25,,,21
3900,----,7.25B,5.50A,7.00A,6.5,-0.25,3,6.75,23,,45
3910,----,7.75B,6.00A,7.75B,7.25,UNCH,,7.25,,,19
3920,----,8.50B,6.50A,8.25A,8,UNCH,,8,,,38
3930,----,9.25B,7.00A,9.00A,8.75,UNCH,,8.75,,,18
3940,----,10.25B,7.50A,9.75A,9.5,UNCH,,9.5,,,26
3950,10.25,11.25B,8.25A,10.75A,10.25,UNCH,104,10.25,,,16
3960,----,12.25B,9.00A,11.50A,11.25,0.25,,11,,,
3970,----,13.25B,9.75A,12.75A,12.25,0.5,,11.75,,,15
3980,10.5,14.50B,10.5,13.75A,13.5,0.75,1,12.75,2,,3
3990,----,16.00B,11.25A,15.00A,14.75,1,,13.75,,,7
4000,----,17.50B,12.25A,16.25A,16,1,,15,,,32
4010,----,19.00B,13.25A,17.75A,17.5,1.25,,16.25,,,10
4020,15.5,20.75B,14.25A,19.50A,19,1.5,1,17.5,,,5
4030,----,22.50B,15.50A,21.25A,20.75,2,,18.75,,,5
4040,----,24.50B,16.75A,23.00A,22.75,2.5,,20.25,,,5
4050,----,26.75B,18.00A,25.00A,24.75,3,,21.75,,,
4060,----,29.00B,19.25A,27.25A,27,3.5,,23.5,,,20
4070,32.75,32.75,21.00A,29.75,29.25,3.75,35,25.5,,,
4080,----,34.50B,22.75A,32.25A,31.75,4.25,,27.5,1,,1
4090,----,37.25B,24.50A,35.00A,34.5,5,,29.5,,,
4100,----,40.50B,26.50A,38.00B,37.5,5.75,,31.75,1,,23
4110,----,44.00B,28.50A,41.25B,40.75,6.5,,34.25,,,25
4120,37.5,47.75B,30.50A,44.50A,44,7.25,90,36.75,18,,14
4130,----,51.50B,32.75A,48.00A,47.5,8,,39.5,20,,20
4140,41.25,55.75B,35.00A,52.00A,51.5,9,1,42.5,,,
4150,----,60.00B,37.75A,56.00A,55.5,9.75,,45.75,,,
4160,----,64.00B,40.75A,61.75A,60,10.75,,49.25,,,
4170,----,69.00B,43.75A,66.50A,64.5,11.75,,52.75,,,
4180,----,74.00B,47.00A,71.50A,69.5,12.75,,56.75,,,
4190,----,79.50B,50.50A,77.25A,74.75,14,,60.75,,,
4200,----,85.25B,54.25A,82.75A,80.25,15.25,,65,,,
4210,----,91.25B,58.00A,88.75A,86.25,16.5,,69.75,,,
4220,----,97.50B,62.00A,95.00A,92.25,17.75,,74.5,,,
4230,----,104.25B,66.50A,101.75A,98.75,19,,79.75,,,
4240,----,111.00B,71.25A,108.50A,105.75,20.75,,85,,,
4250,----,118.25B,76.25A,115.75A,112.75,22,,90.75,,,
4260,----,125.75B,81.75A,123.25A,120.25,23.5,,96.75,,,
4270,----,133.50B,98.00A,131.00A,128,25,,103,,,
4280,----,141.25B,104.50A,139.25A,136,26.5,,109.5,,,
4290,----,149.50B,111.25A,147.25A,144.25,27.75,,116.5,,,
4300,----,158.00B,118.00A,155.75A,152.75,29.25,,123.5,,,
4310,----,166.75B,125.50A,164.50A,161.5,30.75,,130.75,,,2
4320,----,175.50B,133.00A,173.50A,170.5,32,,138.5,,,
4330,----,184.50B,140.75A,182.75A,179.5,33.25,,146.25,,,
4340,----,193.75B,148.75A,192.25A,188.75,34.25,,154.5,,,
4350,----,203.25B,157.50A,201.50A,198,35.25,,162.75,,,
4360,----,212.75B,166.00A,211.25A,207.5,36,,171.5,,,1
4370,----,222.25B,174.75A,220.75A,217,36.75,,180.25,,,
4380,----,232.00B,183.75A,230.50A,226.75,37.75,,189,,,
4390,----,241.25B,192.75A,240.25A,236.5,38.25,,198.25,,,
4400,----,251.25B,202.00A,250.00A,246.25,38.75,,207.5,,,
4410,----,261.25B,211.50A,260.00A,256,39.25,,216.75,,,
4420,----,270.75B,221.00A,269.75A,265.75,39.5,,226.25,,,
4430,----,280.75B,230.50A,279.75A,275.75,40,,235.75,,,
4440,----,290.75B,240.25A,289.75A,285.5,40,,245.5,,,
4450,----,300.50B,250.00A,299.50A,295.5,40.5,,255,,,
4460,----,310.50B,259.75A,309.50A,305.25,40.5,,264.75,,,
4470,----,320.50B,272.25A,319.50A,315.25,40.75,,274.5,,,
4480,----,330.50B,279.50A,329.50A,325.25,40.75,,284.5,,,
4490,----,340.50B,292.00A,339.50A,335.25,41,,294.25,,,
4500,----,350.25B,299.25A,349.50A,345.25,41.25,1,304,,,
4510,----,360.25B,311.75A,359.50A,355.25,41.25,,314,,,
4520,----,370.50B,321.75A,369.50A,365,41,,324,,,
4530,----,380.50B,331.75A,379.25A,375,41.25,,333.75,,,
4540,----,390.50B,341.50A,389.25A,385,41.25,,343.75,,,
4550,----,400.50B,351.50A,399.25A,395,41.25,,353.75,,,
4560,----,410.25B,361.50A,409.25A,405,41.5,,363.5,,,
4570,----,420.25B,371.50A,419.25A,415,41.5,,373.5,,,
4580,----,430.25B,381.75A,429.25A,425,41.5,,383.5,,,
4590,----,440.25B,391.50A,439.25A,435,41.5,,393.5,,,
4600,----,450.25B,401.50A,449.25A,445,41.5,,403.5,,,
4610,----,460.25B,411.50A,459.25A,455,41.5,,413.5,,,
4620,----,470.25B,421.50A,469.25A,465,41.5,,423.5,,,
4630,----,480.00B,431.25A,479.25A,475,41.75,,433.25,,,
4640,----,490.00B,441.25A,489.00A,485,41.75,,443.25,,,
4650,----,500.00B,451.25A,499.25A,495,41.75,,453.25,,,
4660,----,510.00B,461.25A,509.25A,505,41.75,,463.25,,,
4670,----,520.00B,471.50A,519.25A,515,41.75,,473.25,,,
4680,----,530.25B,481.50A,529.00A,525,41.75,,483.25,,,
4690,----,540.25B,491.50A,539.00A,535,41.75,,493.25,,,
4700,----,550.25B,501.50A,549.00A,545,41.75,,503.25,,,
4710,----,560.25B,511.50A,559.00A,555,41.75,,513.25,,,
4720,----,570.25B,521.50A,569.00A,565,41.75,,523.25,,,
4730,----,580.25B,531.50A,579.00A,575,41.75,,533.25,,,
4740,----,590.25B,541.25A,589.00A,585,41.75,,543.25,,,
4750,----,600.25B,551.25A,599.00A,595,41.75,,553.25,,,
4760,----,610.25B,561.25A,609.00A,605,41.75,,563.25,,,
4770,----,620.25B,571.25A,619.00A,615,41.75,,573.25,,,
4780,----,630.25B,581.25A,629.00A,625,41.75,,583.25,,,
4790,----,640.25B,591.25A,639.00A,635,41.75,,593.25,,,
4800,----,650.25B,601.25A,649.00A,645,41.75,,603.25,,,
4810,----,660.25B,611.25A,659.00A,655,41.75,,613.25,,,
QN4 MAR,16 WEEK,4 - NASDAQ,WEEKLY E-MI,NI OPTION,S PUT,,,,,,
3500,----,----,----,----,11.25,UNCH,,11.25,,,
3510,----,----,----,----,11.75,0.25,,11.5,,,
3520,----,----,----,----,12.25,0.25,,12,,,
3530,----,----,----,----,12.75,0.25,,12.5,,,
3540,----,----,----,----,13.25,0.25,,13,,,
3550,----,----,----,----,13.75,0.5,,13.25,,,
3560,----,----,----,----,14.25,0.5,,13.75,,,
3570,----,----,----,----,14.75,0.5,,14.25,,,
3580,----,----,----,----,15.5,0.75,,14.75,,,
3590,----,----,----,----,16,0.5,,15.5,,,
3600,----,----,----,----,16.75,0.75,,16,,,
3610,----,----,----,----,17.25,0.75,,16.5,,,
3620,----,----,----,----,18,0.75,,17.25,,,
3630,----,----,----,----,18.75,1,,17.75,,,
3640,----,----,----,----,19.5,1,,18.5,,,
3650,----,----,----,----,20.25,1,,19.25,,,
3660,----,20.25B,----,20.25B,21,1,,20,,,
3670,----,21.00B,----,21.00B,21.75,1,,20.75,,,
3680,----,22.00B,----,22.00B,22.75,1.25,,21.5,,,
3690,----,23.00B,----,23.00B,23.5,1.25,,22.25,,,
3700,----,24.00B,----,24.00B,24.5,1.5,,23,,,
3710,----,25.00B,23.75A,25.00B,25.5,1.5,,24,,,
3720,----,26.00B,24.50A,26.00B,26.5,1.5,,25,,,
3730,----,27.00B,25.25A,27.00B,27.5,1.75,,25.75,,,
3740,----,28.25B,26.25A,28.25B,28.75,2,,26.75,,,
3750,----,29.50B,27.00A,29.50B,29.75,2,,27.75,,,
3760,----,30.50B,28.00A,30.50B,31,2.25,,28.75,,,
3770,----,32.00B,28.75A,32.00B,32.25,2.25,,30,,,
3780,----,33.25B,29.75A,33.25B,33.5,2.25,,31.25,,,
3790,----,34.50B,30.75A,34.50B,34.75,2.5,,32.25,,,
3800,----,36.00B,32.00A,36.00B,36,2.5,,33.5,,,
3810,----,37.50B,33.00A,37.50B,37.5,2.75,,34.75,,,
3820,----,39.00B,34.25A,39.00B,39,3,,36,,,
3830,----,40.50B,35.25A,40.50B,40.5,3,,37.5,,,
3840,----,42.25B,36.50A,42.25B,42,3,,39,,,
3850,----,44.00B,37.75A,44.00B,43.75,3.5,,40.25,,,
3860,----,45.75B,39.25A,45.75B,45.5,3.75,,41.75,,,
3870,----,47.50B,40.50A,47.50B,47.25,3.75,,43.5,,,
3880,----,49.50B,42.00A,49.50B,49,4,,45,,,
3890,----,51.25B,43.50A,51.25B,51,4.5,,46.5,,,
3900,----,53.25B,45.00A,53.25B,53,4.75,,48.25,,,
3910,----,55.50B,46.50A,55.50B,55,5,,50,,,
3920,----,57.50B,48.25A,57.50B,57,5,,52,,,
3930,----,59.75B,49.75A,59.75B,59,5.25,,53.75,,,
3940,----,62.00B,51.50A,62.00B,61.25,5.5,,55.75,,,
3950,----,64.50B,53.50A,64.50B,63.5,5.75,,57.75,,,
3960,----,67.00B,55.25A,66.75A,66,6.25,,59.75,,,
3970,----,69.50B,57.25A,69.25A,68.5,6.5,,62,,,
3980,----,72.00B,59.25A,71.75A,71,6.75,,64.25,,,
3990,----,74.75B,61.00A,74.50A,73.5,7,,66.5,,,
4000,----,77.50B,63.25A,77.00A,76.25,7.25,,69,,,
4010,----,80.25B,65.50A,79.75A,79,7.5,,71.5,,,
4020,----,83.25B,67.75A,82.75A,82,8,,74,,,
4030,----,86.25B,70.25A,85.75A,85,8.5,,76.5,,,
4040,----,89.50B,72.50A,88.75A,88,8.75,,79.25,,,
4050,----,92.75B,75.00A,91.75A,91,9,,82,,,
4060,----,96.00B,77.75A,95.00A,94.25,9.25,,85,,,
4070,----,99.50B,80.25A,98.50A,97.5,9.5,,88,,,
4080,----,103.00B,83.00A,101.75A,101,10,,91,,,
4090,----,106.75B,85.75A,105.25A,104.5,10.25,,94.25,,,
4100,----,110.25B,88.75A,109.00A,108.25,10.75,,97.5,,,
4110,----,114.25B,91.50A,112.75A,112,11.25,,100.75,,,
4120,----,118.25B,95.00A,116.75A,115.75,11.5,,104.25,,,
4130,----,122.25B,98.00A,120.75A,119.75,12,,107.75,,,
4140,----,126.50B,101.25A,124.75A,123.75,12.25,,111.5,,,
4150,----,130.75B,105.00A,129.00A,128,12.75,,115.25,,,
4160,----,135.25B,108.25A,133.50A,132.25,13,,119.25,,,
4170,----,139.75B,111.75A,138.00A,136.75,13.5,,123.25,,,
4180,----,144.50B,115.50A,142.50A,141.25,14,,127.25,,,
4190,----,149.25B,119.75A,147.25A,146,14.5,,131.5,,,
4200,----,154.25B,123.50A,152.25A,150.75,15,,135.75,,,
4210,----,159.25B,127.50A,157.25A,155.75,15.5,,140.25,,,
4220,----,164.50B,131.75A,162.25A,161,16,,145,,,
4230,----,169.75B,136.25A,167.75A,166.25,16.5,,149.75,,,
4240,----,175.25B,140.50A,173.25A,171.5,17,,154.5,,,
4250,----,181.00B,145.25A,178.75A,177,17.5,,159.5,,,
4260,----,186.75B,150.00A,184.50A,182.75,18.25,,164.5,,,
4270,----,192.75B,154.75A,190.50A,188.75,19,,169.75,,,
4280,----,198.75B,159.75A,196.50A,194.75,19.75,,175,,,
4290,----,205.00B,165.25A,202.75A,201,20.5,,180.5,,,
4300,----,211.25B,170.25A,209.00A,207.25,21,,186.25,,,
4310,----,217.75B,175.75A,215.50A,213.75,21.75,,192,,,
4320,----,224.50B,181.25A,222.25A,220.25,22.25,,198,,,
4330,----,231.25B,187.00A,229.00A,227,22.75,,204.25,,,
4340,----,238.25B,193.00A,236.00A,234,23.5,,210.5,,,
4350,----,245.25B,199.00A,243.00A,240.75,24,,216.75,,,
4360,----,252.50B,205.25A,250.25A,248,24.75,,223.25,,,
4370,----,260.00B,211.75A,257.75A,255.5,25.5,,230,,,
4380,----,267.50B,218.50A,265.25A,263,26,,237,,,
4390,----,275.25B,225.25A,273.00A,270.75,27,,243.75,,,
4400,----,283.00B,231.50A,280.75A,278.5,27.75,,250.75,,,
4410,----,291.00B,252.00A,288.75A,286.5,28.5,,258,,,
